,priogrid
1965,91315
1966,116579
1967,154253
1968,219092
1969,223690
1970,193492
1971,234913
1972,94579
1973,168336
1974,196446
1975,221800
1976,225098
1977,98650
1978,125913
1979,217472
1980,180600
1981,176579
1982,211897
1983,79421
1984,220751
1985,224660
1986,220802
1987,203995
1988,223419
1989,234202
1990,206508
1991,182755
1992,174415
1993,106560
1994,219414
1995,170416
1996,160365
1997,163604
1998,218268
1999,203498
2000,238176
2001,220371
2002,134143
2003,94919
2004,225490
2005,247157
2006,206601
2007,233398
2008,192650
2009,226676
2010,92812
2011,213738
2012,103194
2013,188126
2014,202506
2015,218370
2016,207480
2017,182626
2018,182665
2019,175485
2020,227907
2021,225760
2022,229655
2023,246444
2024,218245
2025,235987
2026,205004
2027,198943
2028,195968
2029,232744
2030,213593
2031,219321
2032,89187
2033,242091
2034,193512
2035,165808
2036,227731
2037,222578
2038,143078
2039,221659
2040,212572
2041,232485
2042,181992
2043,185452
2044,224833
2045,226268
2046,170787
2047,181950
2048,233895
2049,242828
2050,205726
2051,226744
2052,200642
2053,157114
2054,221720
2055,201401
2056,216114
2057,95640
2058,233210
2059,235566
2060,211070
2061,82712
2062,226136
2063,211410
2064,222532
2065,241366
2066,80562
2067,234576
2068,196675
2069,220761
2070,192708
2071,227615
2072,230602
2073,219043
2074,217287
2075,229646
2076,220859
2077,221886
2078,171847
2079,103218
2080,215888
2081,193349
2082,67192
2083,196074
2084,89907
2085,233881
2086,218049
2087,219484
2088,113967
2089,81230
2090,194949
2091,220857
2092,181273
2093,204243
2094,219330
2095,215039
2096,218366
2097,222445
2098,182060
2099,241362
2100,223652
2101,223331
2102,137042
2103,228866
2104,201047
2105,207475
2106,222937
2107,204392
2108,226297
2109,204727
2110,217554
2111,234181
2112,244296
2113,149998
2114,105020
2115,229519
2116,202926
2117,190482
2118,213293
2119,215685
2120,203401
2121,220221
2122,100015
2123,221710
2124,195982
2125,196468
2126,89917
2127,165045
2128,226006
2129,224339
2130,233746
2131,230381
2132,219441
2133,131261
2134,145278
2135,133772
2136,216622
2137,126628
2138,209691
2139,220214
2140,215827
2141,211117
2142,228709
2143,160043
2144,66453
2145,209730
2146,196363
2147,208114
2148,99253
2149,212513
2150,125191
2151,130574
2152,230604
2153,176204
2154,233178
2155,86278
2156,228424
2157,215697
2158,237798
2159,187568
2160,175435
2161,128399
2162,123727
2163,239959
2164,100692
2165,204302
2166,152105
2167,233876
2168,221718
2169,219564
2170,228200
2171,218238
2172,237790
2173,230215
2174,203144
2175,228850
2176,223907
2177,221905
2178,229174
2179,184513
2180,169524
2181,124833
2182,198225
2183,119792
2184,229838
2185,64308
2186,218839
2187,69344
2188,223099
2189,179059
2190,178704
2191,227234
2192,224545
2193,209298
2194,198875
2195,191440
2196,227585
2197,228293
2198,226313
2199,143494
2200,105747
2201,229496
2202,194257
2203,142073
2204,184190
2205,222891
2206,213003
2207,179096
2208,222430
2209,124424
2210,208758
2211,209673
2212,183287
2213,123689
2214,176933
2215,213210
2216,174374
2217,174813
2218,192598
2219,72711
2220,212309
2221,227435
2222,198527
2223,171963
2224,175511
2225,235631
2226,176922
2227,230218
2228,229870
2229,86328
2230,242804
2231,188999
2232,235272
2233,130905
2234,106098
2235,208590
2236,203157
2237,192782
2238,223636
2239,246458
2240,217372
2241,166205
2242,161147
2243,207958
2244,207313
2245,223251
2246,236695
2247,182353
2248,225836
2249,228363
2250,219075
2251,121246
2252,91333
2253,231663
2254,168331
2255,166090
2256,139893
2257,181866
2258,229142
2259,210721
2260,210392
2261,222622
2262,207532
2263,227479
2264,100680
2265,218081
2266,220430
2267,229061
2268,202157
2269,237774
2270,209423
2271,226652
2272,201492
2273,190511
2274,203554
2275,201727
2276,228345
2277,164043
2278,91326
2279,199146
2280,224238
2281,176948
2282,143797
2283,217537
2284,228121
2285,214012
2286,223075
2287,227392
2288,237727
2289,188825
2290,188998
2291,156121
2292,224515
2293,226707
2294,206874
2295,203979
2296,115811
2297,204892
2298,166136
2299,211130
2300,202002
2301,202881
2302,84867
2303,187014
2304,109369
2305,223893
2306,224475
2307,223279
2308,208895
2309,135227
2310,234548
2311,179182
2312,210759
2313,181205
2314,123344
2315,163241
2316,233208
2317,168961
2318,172648
2319,151800
2320,210073
2321,92068
2322,230253
2323,228816
2324,175583
2325,131971
2326,186666
2327,205597
2328,192776
2329,222389
2330,227466
2331,163321
2332,160709
2333,192163
2334,95693
2335,223205
2336,223873
2337,185682
2338,101021
2339,201245
2340,196707
2341,193401
2342,216684
2343,231669
2344,233793
2345,231989
2346,221030
2347,176580
2348,209956
2349,120103
2350,218320
2351,202024
2352,73667
2353,213935
2354,226242
2355,66465
2356,191381
2357,226681
2358,192607
2359,213041
2360,209926
2361,212142
2362,220355
2363,200396
2364,221703
2365,134477
2366,217318
2367,228916
2368,215113
2369,199236
2370,191196
2371,142410
2372,221663
2373,235251
2374,99972
2375,175500
2376,226057
2377,205874
2378,223981
2379,181193
2380,215222
2381,217573
2382,221433
2383,237518
2384,226254
2385,192644
2386,210078
2387,223885
2388,126216
2389,215307
2390,213594
2391,121589
2392,164321
2393,188848
2394,225297
2395,206776
2396,221360
2397,54938
2398,220370
2399,209695
2400,195652
2401,224489
2402,234175
2403,228269
2404,193326
2405,222164
2406,195566
2407,231066
2408,209421
2409,223598
2410,225327
2411,151805
2412,101746
2413,190640
2414,110054
2415,192002
2416,198456
2417,93511
2418,186167
2419,216874
2420,199826
2421,215442
2422,109708
2423,205412
2424,189862
2425,240255
2426,196212
2427,121919
2428,206872
2429,93471
2430,205684
2431,189205
2432,199931
2433,219797
2434,202475
2435,192410
2436,228773
2437,232702
2438,205556
2439,184732
2440,230817
2441,129860
2442,215397
2443,227432
2444,217979
2445,82741
2446,192454
2447,60706
2448,212028
2449,233115
2450,227547
2451,94241
2452,129465
2453,172578
2454,192081
2455,179094
2456,133422
2457,195706
2458,224589
2459,230452
2460,211861
2461,225061
2462,186996
2463,196734
2464,222191
2465,113707
2466,230272
2467,220298
2468,196281
2469,107189
2470,176987
2471,189748
2472,201276
2473,204143
2474,223085
2475,197017
2476,227357
2477,179186
2478,184082
2479,105742
2480,220867
2481,197059
2482,207600
2483,171127
2484,206168
2485,218333
2486,145277
2487,212633
2488,137743
2489,215837
2490,213225
2491,233107
2492,232690
2493,228405
2494,186291
2495,179028
